1,延安市,5272,7792283,15516935,2943
2,榆林市,5731,5055113,12957147,2260
3,铜川市,1227,760721,1906229,1553
4,渭南市,2228,1717487,3329578,1494
5,汉中市,938,738857,1358487,1448
6,咸阳市,1986,1181978,2536629,1277
7,杨陵,45,19085,54153,1203
8,安康市,679,443457,714424,1052
9,宝鸡市,1793,868922,1803708,1005
10,韩城市,88,47579,69510,789
11,商洛市,789,235146,509968,646
12,西咸新区,513,166846,321985,627
13,西安市,5666,1904643,3266129,576
