CA1,CA2,CA3,CA4,CA5,CA6,PE1,PE2,PE4,PE6,QM1,QM2,QM3,QM4,QM5,QM6,QM7,QM8
8.00 ,10.00 ,2,10.00 ,48.00 ,40.00 ,7.26 ,7.57 ,7.57 ,0.00 ,1.00 ,10.00 ,30.00 ,10.00 ,8.00 ,10.00 ,5.00 ,38.00 
10.00 ,8.00 ,0,10.00 ,44.00 ,38.00 ,10.00 ,6.64 ,6.64 ,7.50 ,0.90 ,10.00 ,30.00 ,10.00 ,8.00 ,2.50 ,5.00 ,16.00 
8.00 ,6.00 ,0,9.20 ,36.00 ,24.00 ,8.02 ,7.06 ,7.06 ,5.00 ,0.00 ,10.00 ,18.00 ,10.00 ,10.00 ,10.00 ,12.50 ,8.00 
8.00 ,8.00 ,2,10.00 ,38.00 ,34.00 ,10.00 ,8.67 ,8.67 ,7.50 ,1.00 ,0.00 ,18.00 ,10.00 ,10.00 ,10.00 ,5.00 ,24.00 
8.00 ,6.00 ,0,10.00 ,38.00 ,34.00 ,8.93 ,9.73 ,9.73 ,10.00 ,0.90 ,10.00 ,24.00 ,8.00 ,8.00 ,2.50 ,7.50 ,14.00 
8.00 ,10.00 ,8,10.00 ,46.00 ,36.00 ,8.85 ,10.00 ,10.00 ,5.00 ,0.00 ,0.00 ,30.00 ,8.00 ,2.00 ,5.00 ,12.50 ,16.00 
8.00 ,8.00 ,0,10.00 ,38.00 ,26.00 ,8.52 ,10.00 ,10.00 ,5.00 ,0.00 ,10.00 ,28.00 ,8.00 ,8.00 ,2.50 ,2.50 ,18.00 
8.00 ,6.00 ,4,10.00 ,36.00 ,48.00 ,8.70 ,8.67 ,8.67 ,2.50 ,1.00 ,10.00 ,28.00 ,8.00 ,8.00 ,2.50 ,2.50 ,26.00 
10.00 ,10.00 ,0,10.00 ,46.00 ,50.00 ,9.08 ,8.00 ,8.00 ,10.00 ,1.00 ,0.00 ,28.00 ,8.00 ,2.00 ,10.00 ,5.00 ,12.00 
10.00 ,6.00 ,8,10.00 ,38.00 ,18.00 ,9.38 ,6.00 ,6.00 ,5.00 ,0.00 ,10.00 ,28.00 ,8.00 ,10.00 ,5.00 ,7.50 ,32.00 
10.00 ,6.00 ,0,10.00 ,38.00 ,18.00 ,9.00 ,9.14 ,9.14 ,5.00 ,1.00 ,10.00 ,30.00 ,6.00 ,10.00 ,2.50 ,5.00 ,20.00 
10.00 ,6.00 ,8,10.00 ,38.00 ,50.00 ,9.46 ,8.27 ,8.27 ,7.50 ,1.00 ,10.00 ,30.00 ,6.00 ,4.00 ,10.00 ,12.50 ,16.00 
10.00 ,8.00 ,2,10.00 ,38.00 ,50.00 ,8.97 ,7.54 ,7.54 ,5.00 ,0.90 ,10.00 ,22.00 ,6.00 ,10.00 ,7.50 ,10.00 ,18.00 
10.00 ,6.00 ,10,9.41 ,36.00 ,16.00 ,8.67 ,7.75 ,7.75 ,10.00 ,1.00 ,10.00 ,22.00 ,6.00 ,6.00 ,2.50 ,5.00 ,40.00 
10.00 ,10.00 ,10,7.33 ,46.00 ,50.00 ,9.01 ,9.64 ,9.64 ,10.00 ,0.70 ,10.00 ,30.00 ,6.00 ,8.00 ,5.00 ,12.50 ,12.00 
6.00 ,8.00 ,2,10.00 ,38.00 ,18.00 ,9.25 ,10.00 ,10.00 ,10.00 ,1.00 ,10.00 ,22.00 ,8.00 ,10.00 ,5.00 ,5.00 ,16.00 
10.00 ,6.00 ,8,10.00 ,38.00 ,36.00 ,8.10 ,8.00 ,8.00 ,10.00 ,0.00 ,10.00 ,28.00 ,10.00 ,6.00 ,0.00 ,0.00 ,24.00 
10.00 ,10.00 ,8,10.00 ,48.00 ,38.00 ,8.21 ,8.00 ,8.00 ,10.00 ,0.00 ,0.00 ,28.00 ,4.00 ,10.00 ,0.00 ,2.50 ,24.00 
10.00 ,6.00 ,8,10.00 ,38.00 ,36.00 ,8.64 ,10.00 ,10.00 ,10.00 ,0.60 ,10.00 ,22.00 ,6.00 ,8.00 ,5.00 ,15.00 ,26.00 
8.00 ,8.00 ,2,10.00 ,44.00 ,36.00 ,7.61 ,9.44 ,9.44 ,7.50 ,1.00 ,10.00 ,20.00 ,6.00 ,10.00 ,2.50 ,10.00 ,24.00 
8.00 ,6.00 ,10,10.00 ,38.00 ,12.00 ,9.34 ,9.00 ,9.00 ,5.00 ,0.00 ,0.00 ,22.00 ,6.00 ,8.00 ,10.00 ,5.00 ,32.00 
10.00 ,6.00 ,4,10.00 ,36.00 ,22.00 ,8.00 ,8.29 ,8.29 ,2.50 ,1.00 ,10.00 ,22.00 ,6.00 ,10.00 ,10.00 ,2.50 ,24.00 
8.00 ,8.00 ,2,10.00 ,36.00 ,38.00 ,8.20 ,7.80 ,7.80 ,7.50 ,1.00 ,10.00 ,22.00 ,6.00 ,8.00 ,10.00 ,5.00 ,26.00 
8.00 ,6.00 ,8,10.00 ,36.00 ,38.00 ,8.77 ,8.97 ,8.97 ,5.00 ,1.00 ,5.00 ,22.00 ,6.00 ,8.00 ,10.00 ,2.50 ,38.00 
10.00 ,10.00 ,10,10.00 ,48.00 ,50.00 ,8.32 ,10.00 ,10.00 ,10.00 ,0.00 ,10.00 ,22.00 ,6.00 ,8.00 ,10.00 ,15.00 ,36.00 
10.00 ,8.00 ,4,10.00 ,36.00 ,8.00 ,8.78 ,8.44 ,8.44 ,10.00 ,0.00 ,0.00 ,30.00 ,10.00 ,10.00 ,2.50 ,12.50 ,22.00 
10.00 ,6.00 ,8,10.00 ,36.00 ,50.00 ,10.00 ,7.82 ,7.82 ,10.00 ,1.00 ,10.00 ,20.00 ,10.00 ,6.00 ,0.00 ,15.00 ,32.00 
